location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Königstraße (Mitte), Stuttgart;2018-05-03 11:00:00 +0200;Thursday;2822;15;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-03 12:00:00 +0200;Thursday;4009;16;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-03 13:00:00 +0200;Thursday;4101;16;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-03 14:00:00 +0200;Thursday;3976;17;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-03 15:00:00 +0200;Thursday;4517;18;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-03 16:00:00 +0200;Thursday;4897;19;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-03 17:00:00 +0200;Thursday;5230;19;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-03 18:00:00 +0200;Thursday;4941;19;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-03 19:00:00 +0200;Thursday;3813;18;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-03 20:00:00 +0200;Thursday;2058;17;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-03 21:00:00 +0200;Thursday;1172;17;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-03 22:00:00 +0200;Thursday;805;16;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-03 23:00:00 +0200;Thursday;511;16;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-04 00:00:00 +0200;Friday;201;15;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-04 01:00:00 +0200;Friday;103;15;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-04 02:00:00 +0200;Friday;102;15;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-04 03:00:00 +0200;Friday;76;14;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-04 04:00:00 +0200;Friday;56;14;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-04 05:00:00 +0200;Friday;77;13;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-04 06:00:00 +0200;Friday;239;12;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-04 07:00:00 +0200;Friday;563;13;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-04 08:00:00 +0200;Friday;957;14;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-04 09:00:00 +0200;Friday;1244;15;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-04 10:00:00 +0200;Friday;2169;17;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-04 11:00:00 +0200;Friday;3138;18;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-04 12:00:00 +0200;Friday;4268;20;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-04 13:00:00 +0200;Friday;4701;21;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-04 14:00:00 +0200;Friday;4661;21;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-04 15:00:00 +0200;Friday;5304;22;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-04 16:00:00 +0200;Friday;6035;23;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-04 17:00:00 +0200;Friday;6542;23;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-04 18:00:00 +0200;Friday;6308;22;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-04 19:00:00 +0200;Friday;5313;22;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-04 20:00:00 +0200;Friday;3401;20;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-04 21:00:00 +0200;Friday;2373;18;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-04 22:00:00 +0200;Friday;2124;17;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-04 23:00:00 +0200;Friday;1733;16;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-05 00:00:00 +0200;Saturday;1308;16;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-05 01:00:00 +0200;Saturday;887;15;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-05 02:00:00 +0200;Saturday;495;14;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-05 03:00:00 +0200;Saturday;449;14;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-05 04:00:00 +0200;Saturday;310;12;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-05 05:00:00 +0200;Saturday;196;12;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-05 06:00:00 +0200;Saturday;148;11;partly-cloudy-night;
Königstraße (Mitte), Stuttgart;2018-05-05 07:00:00 +0200;Saturday;137;12;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-05 08:00:00 +0200;Saturday;312;13;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-05 09:00:00 +0200;Saturday;1087;15;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-05 10:00:00 +0200;Saturday;2838;17;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-05 11:00:00 +0200;Saturday;5401;20;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-05 12:00:00 +0200;Saturday;7086;21;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-05 13:00:00 +0200;Saturday;8393;23;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-05 14:00:00 +0200;Saturday;9445;24;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-05 15:00:00 +0200;Saturday;10443;25;partly-cloudy-day;
Königstraße (Mitte), Stuttgart;2018-05-05 16:00:00 +0200;Saturday;11229;26;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-05 17:00:00 +0200;Saturday;11021;25;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-05 18:00:00 +0200;Saturday;10528;25;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-05 19:00:00 +0200;Saturday;8462;24;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-05 20:00:00 +0200;Saturday;5744;23;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-05 21:00:00 +0200;Saturday;3832;21;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-05 22:00:00 +0200;Saturday;3482;20;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-05 23:00:00 +0200;Saturday;2664;18;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-06 00:00:00 +0200;Sunday;2336;16;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-06 01:00:00 +0200;Sunday;1623;16;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-06 02:00:00 +0200;Sunday;1103;15;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-06 03:00:00 +0200;Sunday;709;14;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-06 04:00:00 +0200;Sunday;474;14;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-06 05:00:00 +0200;Sunday;278;13;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-06 06:00:00 +0200;Sunday;190;13;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-06 07:00:00 +0200;Sunday;101;13;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-06 08:00:00 +0200;Sunday;140;14;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-06 09:00:00 +0200;Sunday;356;17;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-06 10:00:00 +0200;Sunday;535;19;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-06 11:00:00 +0200;Sunday;922;21;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-06 12:00:00 +0200;Sunday;1338;23;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-06 13:00:00 +0200;Sunday;1754;24;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-06 14:00:00 +0200;Sunday;2196;25;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-06 15:00:00 +0200;Sunday;2704;25;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-06 16:00:00 +0200;Sunday;3001;25;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-06 17:00:00 +0200;Sunday;2925;25;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-06 18:00:00 +0200;Sunday;2936;25;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-06 19:00:00 +0200;Sunday;2464;24;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-06 20:00:00 +0200;Sunday;1713;23;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-06 21:00:00 +0200;Sunday;1154;20;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-06 22:00:00 +0200;Sunday;606;18;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-06 23:00:00 +0200;Sunday;424;16;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-07 00:00:00 +0200;Monday;131;15;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-07 01:00:00 +0200;Monday;48;14;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-07 02:00:00 +0200;Monday;26;14;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-07 03:00:00 +0200;Monday;39;13;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-07 04:00:00 +0200;Monday;52;12;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-07 05:00:00 +0200;Monday;90;11;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-07 06:00:00 +0200;Monday;232;10;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-07 07:00:00 +0200;Monday;572;11;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-07 08:00:00 +0200;Monday;913;14;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-07 09:00:00 +0200;Monday;1326;17;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-07 10:00:00 +0200;Monday;2242;19;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-07 11:00:00 +0200;Monday;3327;21;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-07 12:00:00 +0200;Monday;4315;23;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-07 13:00:00 +0200;Monday;4376;24;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-07 14:00:00 +0200;Monday;4052;25;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-07 15:00:00 +0200;Monday;4332;25;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-07 16:00:00 +0200;Monday;4900;26;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-07 17:00:00 +0200;Monday;5181;26;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-07 18:00:00 +0200;Monday;5040;25;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-07 19:00:00 +0200;Monday;4095;25;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-07 20:00:00 +0200;Monday;2326;23;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-07 21:00:00 +0200;Monday;1340;21;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-07 22:00:00 +0200;Monday;742;17;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-07 23:00:00 +0200;Monday;338;15;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-08 00:00:00 +0200;Tuesday;124;14;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-08 01:00:00 +0200;Tuesday;54;13;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-08 02:00:00 +0200;Tuesday;35;11;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-08 03:00:00 +0200;Tuesday;18;11;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-08 04:00:00 +0200;Tuesday;43;11;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-08 05:00:00 +0200;Tuesday;110;11;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-08 06:00:00 +0200;Tuesday;180;10;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-08 07:00:00 +0200;Tuesday;470;11;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-08 08:00:00 +0200;Tuesday;703;15;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-08 09:00:00 +0200;Tuesday;1404;18;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-08 10:00:00 +0200;Tuesday;2052;21;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-08 11:00:00 +0200;Tuesday;3186;23;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-08 12:00:00 +0200;Tuesday;4206;24;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-08 13:00:00 +0200;Tuesday;4202;25;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-08 14:00:00 +0200;Tuesday;3931;26;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-08 15:00:00 +0200;Tuesday;4217;27;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-08 16:00:00 +0200;Tuesday;5073;27;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-08 17:00:00 +0200;Tuesday;5362;27;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-08 18:00:00 +0200;Tuesday;5293;26;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-08 19:00:00 +0200;Tuesday;4511;26;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-08 20:00:00 +0200;Tuesday;2638;24;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-08 21:00:00 +0200;Tuesday;1476;21;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-08 22:00:00 +0200;Tuesday;948;18;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-08 23:00:00 +0200;Tuesday;485;16;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-09 00:00:00 +0200;Wednesday;172;14;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-09 01:00:00 +0200;Wednesday;126;14;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-09 02:00:00 +0200;Wednesday;41;13;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-09 03:00:00 +0200;Wednesday;48;12;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-09 04:00:00 +0200;Wednesday;50;11;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-09 05:00:00 +0200;Wednesday;91;11;clear-night;
Königstraße (Mitte), Stuttgart;2018-05-09 06:00:00 +0200;Wednesday;202;10;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-09 07:00:00 +0200;Wednesday;572;11;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-09 08:00:00 +0200;Wednesday;1131;14;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-09 09:00:00 +0200;Wednesday;1593;18;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-09 10:00:00 +0200;Wednesday;2108;20;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-09 11:00:00 +0200;Wednesday;3040;22;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-09 12:00:00 +0200;Wednesday;4006;23;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-09 13:00:00 +0200;Wednesday;4203;24;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-09 14:00:00 +0200;Wednesday;4108;24;clear-day;
Königstraße (Mitte), Stuttgart;2018-05-09 15:00:00 +0200;Wednesday;4305;25;clear-day;
