location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Kröpeliner Straße (West), Rostock;2022-02-27 10:00:00 +0100;Sunday;334;1;partly-cloudy-day;
Kröpeliner Straße (West), Rostock;2022-02-27 11:00:00 +0100;Sunday;499;3;clear-day;
Kröpeliner Straße (West), Rostock;2022-02-27 12:00:00 +0100;Sunday;661;4;clear-day;
Kröpeliner Straße (West), Rostock;2022-02-27 13:00:00 +0100;Sunday;1032;6;clear-day;
Kröpeliner Straße (West), Rostock;2022-02-27 14:00:00 +0100;Sunday;918;7;clear-day;
Kröpeliner Straße (West), Rostock;2022-02-27 15:00:00 +0100;Sunday;951;7;clear-day;
Kröpeliner Straße (West), Rostock;2022-02-27 16:00:00 +0100;Sunday;789;7;clear-day;
Kröpeliner Straße (West), Rostock;2022-02-27 17:00:00 +0100;Sunday;499;6;clear-day;
Kröpeliner Straße (West), Rostock;2022-02-27 18:00:00 +0100;Sunday;325;4;clear-night;
Kröpeliner Straße (West), Rostock;2022-02-27 19:00:00 +0100;Sunday;263;3;clear-night;
Kröpeliner Straße (West), Rostock;2022-02-27 20:00:00 +0100;Sunday;147;3;clear-night;
Kröpeliner Straße (West), Rostock;2022-02-27 21:00:00 +0100;Sunday;42;2;clear-night;
Kröpeliner Straße (West), Rostock;2022-02-27 22:00:00 +0100;Sunday;43;2;partly-cloudy-night;
Kröpeliner Straße (West), Rostock;2022-02-27 23:00:00 +0100;Sunday;21;1;partly-cloudy-night;
Kröpeliner Straße (West), Rostock;2022-02-28 00:00:00 +0100;Monday;12;1;partly-cloudy-night;
Kröpeliner Straße (West), Rostock;2022-02-28 01:00:00 +0100;Monday;1;0;clear-night;
Kröpeliner Straße (West), Rostock;2022-02-28 02:00:00 +0100;Monday;9;0;clear-night;
Kröpeliner Straße (West), Rostock;2022-02-28 03:00:00 +0100;Monday;4;0;partly-cloudy-night;
Kröpeliner Straße (West), Rostock;2022-02-28 04:00:00 +0100;Monday;2;-1;partly-cloudy-night;
Kröpeliner Straße (West), Rostock;2022-02-28 05:00:00 +0100;Monday;25;-1;partly-cloudy-night;
Kröpeliner Straße (West), Rostock;2022-02-28 06:00:00 +0100;Monday;107;-2;partly-cloudy-night;
Kröpeliner Straße (West), Rostock;2022-02-28 07:00:00 +0100;Monday;322;-2;clear-night;
Kröpeliner Straße (West), Rostock;2022-02-28 08:00:00 +0100;Monday;459;-1;clear-day;
Kröpeliner Straße (West), Rostock;2022-02-28 09:00:00 +0100;Monday;795;0;clear-day;
Kröpeliner Straße (West), Rostock;2022-02-28 10:00:00 +0100;Monday;1352;1;clear-day;
Kröpeliner Straße (West), Rostock;2022-02-28 11:00:00 +0100;Monday;1810;3;clear-day;
Kröpeliner Straße (West), Rostock;2022-02-28 12:00:00 +0100;Monday;1924;4;clear-day;
Kröpeliner Straße (West), Rostock;2022-02-28 13:00:00 +0100;Monday;1883;5;clear-day;
Kröpeliner Straße (West), Rostock;2022-02-28 14:00:00 +0100;Monday;1835;6;clear-day;
Kröpeliner Straße (West), Rostock;2022-02-28 15:00:00 +0100;Monday;2206;7;clear-day;
Kröpeliner Straße (West), Rostock;2022-02-28 16:00:00 +0100;Monday;2458;7;clear-day;
Kröpeliner Straße (West), Rostock;2022-02-28 17:00:00 +0100;Monday;2159;6;clear-day;
Kröpeliner Straße (West), Rostock;2022-02-28 18:00:00 +0100;Monday;1292;4;clear-night;
Kröpeliner Straße (West), Rostock;2022-02-28 19:00:00 +0100;Monday;710;3;clear-night;
Kröpeliner Straße (West), Rostock;2022-02-28 20:00:00 +0100;Monday;350;2;clear-night;
Kröpeliner Straße (West), Rostock;2022-02-28 21:00:00 +0100;Monday;155;2;clear-night;
Kröpeliner Straße (West), Rostock;2022-02-28 22:00:00 +0100;Monday;80;1;clear-night;
Kröpeliner Straße (West), Rostock;2022-02-28 23:00:00 +0100;Monday;38;1;clear-night;
Kröpeliner Straße (West), Rostock;2022-03-01 00:00:00 +0100;Tuesday;22;1;clear-night;
Kröpeliner Straße (West), Rostock;2022-03-01 01:00:00 +0100;Tuesday;8;1;clear-night;
