location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Neue Schönhauser Straße, Berlin;2021-08-20 12:00:00 +0200;Friday;1009;20;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-20 13:00:00 +0200;Friday;1053;21;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-20 14:00:00 +0200;Friday;1097;21;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-20 15:00:00 +0200;Friday;1122;22;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-20 16:00:00 +0200;Friday;1293;22;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-20 17:00:00 +0200;Friday;1201;21;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-20 18:00:00 +0200;Friday;1180;21;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-20 19:00:00 +0200;Friday;828;21;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-20 20:00:00 +0200;Friday;468;20;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-20 21:00:00 +0200;Friday;336;18;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-20 22:00:00 +0200;Friday;215;17;clear-night;
Neue Schönhauser Straße, Berlin;2021-08-20 23:00:00 +0200;Friday;187;16;clear-night;
Neue Schönhauser Straße, Berlin;2021-08-21 00:00:00 +0200;Saturday;99;16;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-21 01:00:00 +0200;Saturday;73;16;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-21 02:00:00 +0200;Saturday;42;15;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-21 03:00:00 +0200;Saturday;30;15;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-21 04:00:00 +0200;Saturday;10;14;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-21 05:00:00 +0200;Saturday;13;14;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-21 06:00:00 +0200;Saturday;10;14;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-21 07:00:00 +0200;Saturday;53;14;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-21 08:00:00 +0200;Saturday;62;15;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-21 09:00:00 +0200;Saturday;139;16;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-21 10:00:00 +0200;Saturday;387;18;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-21 11:00:00 +0200;Saturday;763;19;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-21 12:00:00 +0200;Saturday;1180;20;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-21 13:00:00 +0200;Saturday;1389;21;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-21 14:00:00 +0200;Saturday;1640;23;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-21 15:00:00 +0200;Saturday;1631;24;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-21 16:00:00 +0200;Saturday;1687;24;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-21 17:00:00 +0200;Saturday;1410;23;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-21 18:00:00 +0200;Saturday;1163;23;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-21 19:00:00 +0200;Saturday;770;22;partly-cloudy-day;
Neue Schönhauser Straße, Berlin;2021-08-21 20:00:00 +0200;Saturday;438;22;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-21 21:00:00 +0200;Saturday;329;21;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-21 22:00:00 +0200;Saturday;242;19;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-21 23:00:00 +0200;Saturday;153;19;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-22 00:00:00 +0200;Sunday;97;18;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-22 01:00:00 +0200;Sunday;67;18;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-22 02:00:00 +0200;Sunday;39;17;partly-cloudy-night;
Neue Schönhauser Straße, Berlin;2021-08-22 03:00:00 +0200;Sunday;19;17;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-22 04:00:00 +0200;Sunday;4;16;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-22 05:00:00 +0200;Sunday;3;16;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-22 06:00:00 +0200;Sunday;12;15;cloudy;
Neue Schönhauser Straße, Berlin;2021-08-22 07:00:00 +0200;Sunday;6;15;cloudy;
