location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Jungfernstieg, Hamburg;2018-09-30 14:00:00 +0200;Sunday;1382;16;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-30 15:00:00 +0200;Sunday;1446;16;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-30 16:00:00 +0200;Sunday;1321;16;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-30 17:00:00 +0200;Sunday;1113;15;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-30 18:00:00 +0200;Sunday;894;15;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-09-30 19:00:00 +0200;Sunday;597;14;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-30 20:00:00 +0200;Sunday;374;12;cloudy;
Jungfernstieg, Hamburg;2018-09-30 21:00:00 +0200;Sunday;282;11;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-30 22:00:00 +0200;Sunday;135;10;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-09-30 23:00:00 +0200;Sunday;91;11;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-10-01 00:00:00 +0200;Monday;31;10;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-10-01 01:00:00 +0200;Monday;71;11;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-10-01 02:00:00 +0200;Monday;8;11;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-10-01 03:00:00 +0200;Monday;7;11;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-10-01 04:00:00 +0200;Monday;27;10;cloudy;
Jungfernstieg, Hamburg;2018-10-01 05:00:00 +0200;Monday;108;11;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-10-01 06:00:00 +0200;Monday;205;10;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-10-01 07:00:00 +0200;Monday;421;10;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-10-01 08:00:00 +0200;Monday;1090;10;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-10-01 09:00:00 +0200;Monday;1423;10;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-10-01 10:00:00 +0200;Monday;2003;11;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-10-01 11:00:00 +0200;Monday;3097;12;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-10-01 12:00:00 +0200;Monday;3923;12;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-10-01 13:00:00 +0200;Monday;2657;10;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-10-01 14:00:00 +0200;Monday;3966;10;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-10-01 15:00:00 +0200;Monday;4319;11;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-10-01 16:00:00 +0200;Monday;4151;10;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-10-01 17:00:00 +0200;Monday;4252;10;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-10-01 18:00:00 +0200;Monday;3794;11;partly-cloudy-day;
Jungfernstieg, Hamburg;2018-10-01 19:00:00 +0200;Monday;2107;10;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-10-01 20:00:00 +0200;Monday;791;8;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-10-01 21:00:00 +0200;Monday;367;7;partly-cloudy-night;
Jungfernstieg, Hamburg;2018-10-01 22:00:00 +0200;Monday;156;7;partly-cloudy-night;
